apartmenttype,quarter,region,subregion,year,averagerent
Efficiency,1,Colorado State,Alamosa,1996,NA
Efficiency,3,Colorado State,Alamosa,1996,NA
Efficiency,1,Colorado State,Alamosa,1997,NA
Efficiency,3,Colorado State,Alamosa,1997,NA
Efficiency,1,Colorado State,Alamosa,1998,NA
Efficiency,3,Colorado State,Alamosa,1998,NA
Efficiency,1,Colorado State,Alamosa,1999,NA
Efficiency,3,Colorado State,Alamosa,1999,NA
Efficiency,1,Colorado State,Alamosa,2000,NA
Efficiency,3,Colorado State,Alamosa,2000,303.0
Efficiency,1,Colorado State,Alamosa,2001,294.25
Efficiency,3,Colorado State,Alamosa,2001,NA
Efficiency,1,Colorado State,Alamosa,2002,NA
Efficiency,3,Colorado State,Alamosa,2002,NA
Efficiency,1,Colorado State,Alamosa,2003,NA
Efficiency,3,Colorado State,Alamosa,2003,NA
Efficiency,1,Colorado State,Alamosa,2004,NA
Efficiency,3,Colorado State,Alamosa,2004,NA
Efficiency,1,Colorado State,Alamosa,2005,NA
Efficiency,3,Colorado State,Alamosa,2005,NA
Efficiency,1,Colorado State,Alamosa,2006,NA
Efficiency,3,Colorado State,Alamosa,2006,NA
Efficiency,4,Colorado State,Alamosa,2006,NA
Efficiency,1,Colorado State,Alamosa,2007,NA
Efficiency,2,Colorado State,Alamosa,2007,NA
Efficiency,3,Colorado State,Alamosa,2007,NA
Efficiency,4,Colorado State,Alamosa,2007,NA
Efficiency,1,Colorado State,Alamosa,2008,NA
Efficiency,2,Colorado State,Alamosa,2008,NA
Efficiency,3,Colorado State,Alamosa,2008,NA
Efficiency,4,Colorado State,Alamosa,2008,NA
Efficiency,1,Colorado State,Alamosa,2009,NA
Efficiency,2,Colorado State,Alamosa,2009,NA
Efficiency,3,Colorado State,Alamosa,2009,NA
Efficiency,4,Colorado State,Alamosa,2009,NA
Efficiency,1,Colorado State,Alamosa,2010,NA
Efficiency,2,Colorado State,Alamosa,2010,NA
Efficiency,3,Colorado State,Alamosa,2010,NA
Efficiency,4,Colorado State,Alamosa,2010,NA
Efficiency,1,Colorado State,Alamosa,2011,NA
Efficiency,2,Colorado State,Alamosa,2011,NA
Efficiency,3,Colorado State,Alamosa,2011,NA
Efficiency,4,Colorado State,Alamosa,2011,NA
Efficiency,1,Colorado State,Alamosa,2012,NA
Efficiency,2,Colorado State,Alamosa,2012,NA
Efficiency,3,Colorado State,Alamosa,2012,NA
Efficiency,4,Colorado State,Alamosa,2012,NA
Efficiency,1,Colorado State,Alamosa,2013,NA
Efficiency,2,Colorado State,Alamosa,2013,NA
Efficiency,3,Colorado State,Alamosa,2013,NA
Efficiency,4,Colorado State,Alamosa,2013,NA
Efficiency,1,Colorado State,Alamosa,2014,NA
Efficiency,2,Colorado State,Alamosa,2014,NA
Efficiency,3,Colorado State,Alamosa,2014,NA
Efficiency,4,Colorado State,Alamosa,2014,NA
Efficiency,1,Colorado State,Alamosa,2015,504.166666667
Efficiency,2,Colorado State,Alamosa,2015,NA
Efficiency,3,Colorado State,Alamosa,2015,NA
Efficiency,4,Colorado State,Alamosa,2015,NA
1 Bed,1,Colorado State,Alamosa,1996,NA
1 Bed,3,Colorado State,Alamosa,1996,NA
1 Bed,1,Colorado State,Alamosa,1997,NA
1 Bed,3,Colorado State,Alamosa,1997,NA
1 Bed,1,Colorado State,Alamosa,1998,NA
1 Bed,3,Colorado State,Alamosa,1998,NA
1 Bed,1,Colorado State,Alamosa,1999,NA
1 Bed,3,Colorado State,Alamosa,1999,NA
1 Bed,1,Colorado State,Alamosa,2000,NA
1 Bed,3,Colorado State,Alamosa,2000,377.36
1 Bed,1,Colorado State,Alamosa,2001,359.28
1 Bed,3,Colorado State,Alamosa,2001,378.48
